Rank	Score	Type	ID	Name	Description
1	99.92	kd	CGS001-1611	DAP	-
2	99.68	kd	CGS001-9326	ZNHIT3	Zinc fingers, HIT-type
3	99.57	oe	ccsbBroad304_06992	SRC	Src family
4	99.16	kd	CGS001-80351	TNKS2	Ankyrin repeat domain containing
5	99.03	oe	ccsbBroad304_00954	LYN	Src family
6	98.97	kd	CGS001-64219	PJA1	RING-type (C3HC4) zinc fingers
7	98.89	oe	ccsbBroad304_01284	PRKCZ	Iota subfamily
8	98.6	kd	CGS001-200081	TXLNA	-
9	98.52	oe	ccsbBroad304_07124	UROD	-
10	98.45	cc		PKC activator	-
11	98.24	oe	ccsbBroad304_01688	TNFRSF1A	Tumour necrosis factor (TNF) receptor family
12	97.89	cp	BRD-K91145395	prostratin	PKC activator
13	97.89	kd	CGS001-1871	E2F3	-
14	97.85	kd	CGS001-51720	UIMC1	-
15	97.43	cp	BRD-K39569857	avrainvillamide-analog-3	nucleophosmin inhibitor
16	97.37	cp	BRD-A52650764	ingenol	PKC activator
17	96.85	kd	CGS001-8894	EIF2S2	Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits
18	96.81	oe	ccsbBroad304_06587	MMP1	Matrix metallopeptidase
19	96.77	kd	CGS001-1468	SLC25A10	Mitochondrial di- and tri-carboxylic acid transporter subfamily
20	96.77	kd	CGS001-2677	GGCX	Carboxylases
21	96.58	cp	BRD-A15079084	phorbol-12-myristate-13-acetate	PKC activator
22	96.48	oe	ccsbBroad304_00771	HOXA5	Homeoboxes / ANTP class : HOXL subclass
23	96.43	cp	BRD-K35687265	ON-01910	PLK inhibitor
24	96.21	cp	BRD-K62609077	scoulerine	Adrenergic receptor antagonist
25	95.89	kd	CGS001-8767	RIPK2	Receptor interacting protein kinase (RIPK) family
26	95.5	kd	CGS001-5563	PRKAA2	AMPK subfamily
27	95.44	kd	CGS001-5049	PAFAH1B2	-
28	95.32	oe	ccsbBroad304_06753	POU5F1	Homeoboxes / POU class
29	95.21	kd	CGS001-694	BTG1	-
30	95.17	cp	BRD-M30523314	vinorelbine	Tubulin inhibitor
31	94.8	cp	BRD-K83963101	MLN-8054	Aurora kinase inhibitor
32	94.68	cp	BRD-K59184148	SB-216763	Glycogen synthase kinase inhibitor
33	94.27	kd	CGS001-115201	ATG4A	-
34	94.12	oe	ccsbBroad304_02053	BTRC	F-boxes / WD-40 domains
35	93.45	oe	ccsbBroad304_04780	GPR139	GPCR / Class A : Orphans
36	92.75	kd	CGS001-63891	RNF123	RING-type (C3HC4) zinc fingers
37	92.7	kd	CGS001-8853	ASAP2	Ankyrin repeat domain containing
38	92.66	kd	CGS001-978	CDA	-
39	92.56	kd	CGS001-3920	LAMP2	CD molecules
40	92.27	kd	CGS001-51031	GLOD4	-
41	91.97	oe	ccsbBroad304_10024	ZNF680	Zinc fingers, C2H2-type
42	91.39	kd	CGS001-51053	GMNN	-
43	91.37	kd	CGS001-10196	PRMT3	Protein arginine N-methyltransferases
44	91.06	kd	CGS001-55143	CDCA8	-
45	90.87	cp	BRD-K94325918	kinetin-riboside	Apoptosis stimulant
46	90.73	cp	BRD-A17819071	gedunin	HSP inhibitor
47	90.73	cp	BRD-K67844266	MLN-4924	Nedd activating enzyme inhibitor
48	90.7	kd	CGS001-7172	TPMT	-
49	90.29	kd	CGS001-8893	EIF2B5	-
50	90.28	kd	CGS001-5827	PXMP2	-
51	90.28	cp	BRD-K28360340	TW-37	BCL inhibitor
52	90.16	kd	CGS001-8140	SLC7A5	SLC7 family
53	90.06	kd	CGS001-51465	UBE2J1	Ubiquitin-conjugating enzymes E2
54	90	kd	CGS001-50810	HDGFRP3	-
55	89.82	kd	CGS001-6146	RPL22	L ribosomal proteins
56	89.47	cp	BRD-K91370081	anisomycin	DNA synthesis inhibitor
57	89.33	kd	CGS001-51071	DERA	-
58	88.75	cp	BRD-A81795050	U-18666A	Oxidosqualene cyclase inhibitor
59	88.69	oe	ccsbBroad304_01144	PAK1	PAKA subfamily
60	88.58	cp	BRD-K91696562	orantinib	FGFR inhibitor
61	88.29	oe	ccsbBroad304_00879	IRAK2	Interleukin-1 receptor-associated kinase (IRAK) family
