"ensembl_gene_id","hgnc_symbol","description"
"ENSG00000005001","PRSS22","serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
"ENSG00000006327","TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
"ENSG00000011426","ANLN","anillin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]"
"ENSG00000015413","DPEP1","dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]"
"ENSG00000050344","NFE2L3","NFE2 like bZIP transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:7783]"
"ENSG00000060718","COL11A1","collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]"
"ENSG00000062038","CDH3","cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]"
"ENSG00000062282","DGAT2","diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]"
"ENSG00000071539","TRIP13","thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]"
"ENSG00000078098","FAP","fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]"
"ENSG00000081041","CXCL2","C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]"
"ENSG00000081277","PKP1","plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]"
"ENSG00000088002","SULT2B1","sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]"
"ENSG00000088992","TESC","tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]"
"ENSG00000095752","IL11","interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]"
"ENSG00000099953","MMP11","matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]"
"ENSG00000099985","OSM","oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]"
"ENSG00000101144","BMP7","bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]"
"ENSG00000101187","SLCO4A1","solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]"
"ENSG00000101255","TRIB3","tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]"
"ENSG00000103257","SLC7A5","solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]"
"ENSG00000103888","CEMIP","cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]"
"ENSG00000105219","CCNP","cyclin P [Source:HGNC Symbol;Acc:HGNC:25805]"
"ENSG00000105464","GRIN2D","glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]"
"ENSG00000105664","COMP","cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]"
"ENSG00000105989","WNT2","Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]"
"ENSG00000106366","SERPINE1","serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]"
"ENSG00000106483","SFRP4","secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]"
"ENSG00000107159","CA9","carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]"
"ENSG00000108244","KRT23","keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]"
"ENSG00000108342","CSF3","colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]"
"ENSG00000108821","COL1A1","collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]"
"ENSG00000111799","COL12A1","collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]"
"ENSG00000112559","MDFI","MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]"
"ENSG00000113739","STC2","stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]"
"ENSG00000115363","EVA1A","eva-1 homolog A, regulator of programmed cell death [Source:HGNC Symbol;Acc:HGNC:25816]"
"ENSG00000115386","REG1A","regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]"
"ENSG00000117122","MFAP2","microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]"
"ENSG00000118785","SPP1","secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]"
"ENSG00000120149","MSX2","msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]"
"ENSG00000120708","TGFBI","transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]"
"ENSG00000122641","INHBA","inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]"
"ENSG00000123500","COL10A1","collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]"
"ENSG00000123610","TNFAIP6","TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]"
"ENSG00000124216","SNAI1","snail family transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:11128]"
"ENSG00000125538","IL1B","interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]"
"ENSG00000128422","KRT17","keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]"
"ENSG00000129451","KLK10","kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]"
"ENSG00000129474","AJUBA","ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]"
"ENSG00000130600","H19","H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:HGNC:4713]"
"ENSG00000131188","PRR7","proline rich 7, synaptic [Source:HGNC Symbol;Acc:HGNC:28130]"
"ENSG00000131389","SLC6A6","solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]"
"ENSG00000131746","TNS4","tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352]"
"ENSG00000133048","CHI3L1","chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]"
"ENSG00000134013","LOXL2","lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]"
"ENSG00000134827","TCN1","transcobalamin 1 [Source:HGNC Symbol;Acc:HGNC:11652]"
"ENSG00000135069","PSAT1","phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]"
"ENSG00000137573","SULF1","sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]"
"ENSG00000137673","MMP7","matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]"
"ENSG00000137699","TRIM29","tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]"
"ENSG00000139515","PDX1","pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]"
"ENSG00000140274","DUOXA2","dual oxidase maturation factor 2 [Source:HGNC Symbol;Acc:HGNC:32698]"
"ENSG00000140807","NKD1","NKD inhibitor of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:17045]"
"ENSG00000143333","RGS16","regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]"
"ENSG00000144810","COL8A1","collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]"
"ENSG00000145506","NKD2","NKD inhibitor of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:17046]"
"ENSG00000146477","SLC22A3","solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967]"
